"id","RMS_CDW_ID","General_Offense_Number","Offense_Code","Offense_Code_Extension","Offense_Type","Summary_Offense_Code","Summarized_Offense_Description, Date_Reported","Occurred_Date_or_Date_Range_Start","Occurred_Date_Range_End","Hundred_Block_Location","District_Sector","Zone_Beat","Longitude","Latitude","Location","Date_Occurred","Date_Occurred_End"
79,732288,"2013101624","2205",0,"BURGLARY-NOFORCE-NONRES","2200",,"2013-03-26T15:51:00.000Z","1900-01-01 00:00:00","74XX BLOCK OF 5 AV NE","J","J1",-122.323,47.6824,"(47.682407637, -122.322891614)","2013-03-26","2013-03-26"
81,732304,"2013102641","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-26T20:00:00.000Z","2013-03-27 09:00:00","31XX BLOCK OF 33 AV S","R","R1",-122.291,47.5758,"(47.575811619, -122.290902992)","2013-03-26","2013-03-27"
91,732342,"2013103213","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T19:52:00.000Z","1900-01-01 00:00:00","133XX BLOCK OF STONE AV N","N","N1",-122.342,47.7255,"(47.725511243, -122.342300219)","2013-03-27","2013-03-27"
132,732505,"201399629","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-25T00:53:00.000Z","2013-03-25 00:56:00","XX BLOCK OF NICKERSON ST","Q","Q2",-122.357,47.6497,"(47.649657319, -122.357423529)","2013-03-25","2013-03-25"
133,732506,"201399671","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-25T00:55:00.000Z","2013-03-25 01:58:00","XX BLOCK OF NICKERSON ST","Q","Q2",-122.357,47.6497,"(47.649657319, -122.357423529)","2013-03-25","2013-03-25"
137,732516,"2013102982","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-27T16:19:00.000Z","1900-01-01 00:00:00","7XX BLOCK OF 1 AV N","Q","Q3",-122.355,47.6259,"(47.625851481, -122.355391315)","2013-03-27","2013-03-27"
151,732608,"201398741","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-24T04:20:00.000Z","1900-01-01 00:00:00","28XX BLOCK OF ALKI AV SW","W","W1",-122.413,47.5785,"(47.578548197, -122.412622976)","2013-03-24","2013-03-24"
152,732609,"201398839","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-24T02:02:00.000Z","2013-03-24 07:48:00","34XX BLOCK OF W MC GRAW ST","Q","Q1",-122.402,47.6396,"(47.639552517, -122.401688754)","2013-03-24","2013-03-24"
155,732624,"2013101660","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-26T11:00:00.000Z","2013-03-26 16:00:00","30XX BLOCK OF 19 AV S","O","O1",-122.308,47.576,"(47.57603918, -122.307724846)","2013-03-26","2013-03-26"
156,732632,"2013103602","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T19:30:00.000Z","2013-03-28 04:30:00","33XX BLOCK OF W MC GRAW ST","Q","Q1",-122.4,47.6396,"(47.639556387, -122.400315438)","2013-03-27","2013-03-28"
157,732633,"2013102020","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-26T22:06:00.000Z","1900-01-01 00:00:00","51XX BLOCK OF S FARRAR ST","R","R3",-122.269,47.5556,"(47.55556122, -122.268986392)","2013-03-26","2013-03-26"
256,732851,"201399347","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-23T12:00:00.000Z","2013-03-24 19:30:00","48XX BLOCK OF FAUNTLEROY WY SW","W","W2",-122.381,47.5584,"(47.558356551, -122.381459365)","2013-03-23","2013-03-24"
257,732852,"201399538","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T23:00:00.000Z","1900-01-01 00:00:00","127XX BLOCK OF GREENWOOD AV N","B","B1",-122.356,47.7223,"(47.722325583, -122.355544667)","2013-03-25","2013-03-25"
329,732973,"201399209","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-22T16:00:00.000Z","2013-03-24 16:16:00","21XX BLOCK OF N 53 ST","J","J1",-122.333,47.6672,"(47.667203203, -122.332853761)","2013-03-22","2013-03-24"
332,732976,"201399254","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-24T15:00:00.000Z","2013-03-24 17:17:00","43XX BLOCK OF 28 AV S","R","R2",-122.298,47.5633,"(47.563303843, -122.298314439)","2013-03-24","2013-03-24"
338,733117,"2013100610","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-22T19:36:00.000Z","2013-03-24 22:30:00","6XX BLOCK OF COMSTOCK ST","D","D1",-122.344,47.6306,"(47.63058644, -122.344232339)","2013-03-22","2013-03-24"
438,733484,"2013104106","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T13:30:00.000Z","1900-01-01 00:00:00","6XX BLOCK OF N 46 ST","J","J2",-122.351,47.6621,"(47.66213613, -122.350759005)","2013-03-28","2013-03-28"
440,733488,"2013103669","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T06:34:00.000Z","1900-01-01 00:00:00","92XX BLOCK OF 13 AV SW","F","F3",-122.352,47.5201,"(47.520093629, -122.351711118)","2013-03-28","2013-03-28"
441,733493,"2013104078","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T17:00:00.000Z","2013-03-28 09:00:00","34XX BLOCK OF WALLINGFORD AV N","J","J3",-122.336,47.6486,"(47.648620374, -122.336344533)","2013-03-27","2013-03-28"
442,733494,"2013104086","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T13:15:00.000Z","1900-01-01 00:00:00","65XX BLOCK OF 30 AV S","S","S1",-122.294,47.5435,"(47.543507226, -122.29365419)","2013-03-28","2013-03-28"
443,733499,"2013104350","2205",0,"BURGLARY-NOFORCE-NONRES","2200",,"2013-03-28T01:45:00.000Z","2013-03-28 15:45:00","21XX BLOCK OF N 45 ST","J","J3",-122.333,47.6614,"(47.66138373, -122.333133242)","2013-03-28","2013-03-28"
444,733509,"2013105268","2205",0,"BURGLARY-NOFORCE-NONRES","2200",,"2013-03-29T00:01:00.000Z","2013-03-29 08:00:00","47XX BLOCK OF OHIO AV S","O","O2",-122.338,47.56,"(47.559960288, -122.338077348)","2013-03-29","2013-03-29"
445,733511,"2013105538","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-29T06:30:00.000Z","2013-03-29 12:30:00","50XX BLOCK OF 9 AV NE","U","U2",-122.318,47.666,"(47.666028808, -122.318426091)","2013-03-29","2013-03-29"
447,733515,"2013106104","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-29T00:00:00.000Z","2013-03-29 23:01:00","2567 1 / 2 13 AV W","Q","Q2",-122.374,47.6429,"(47.642944158, -122.373817355)","2013-03-29","2013-03-29"
452,733524,"2013106698","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-30T13:01:00.000Z","1900-01-01 00:00:00","59XX BLOCK OF S CARVER ST","S","S3",-122.259,47.5182,"(47.518238892, -122.259228099)","2013-03-30","2013-03-30"
453,733526,"2013106817","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-29T16:00:00.000Z","2013-03-30 13:00:00","38XX BLOCK OF 20 AV SW","F","F1",-122.359,47.5692,"(47.569240196, -122.359050321)","2013-03-29","2013-03-30"
454,733527,"2013106929","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-30T16:04:00.000Z","1900-01-01 00:00:00","19XX BLOCK OF 29 AV S","R","R1",-122.295,47.5859,"(47.585913661, -122.295095983)","2013-03-30","2013-03-30"
455,733528,"2013107048","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-29T08:00:00.000Z","2013-03-29 13:00:00","79XX BLOCK OF WALLINGFORD AV N","J","J1",-122.337,47.6863,"(47.686304253, -122.336747201)","2013-03-29","2013-03-29"
456,733530,"2013107284","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-30T21:35:00.000Z","1900-01-01 00:00:00","36XX BLOCK OF NE 120 ST","L","L2",-122.288,47.7155,"(47.715529822, -122.288274972)","2013-03-30","2013-03-30"
457,733532,"2013106510","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-29T18:30:00.000Z","2013-03-30 08:00:00","36XX BLOCK OF STONE WY N","J","J3",-122.343,47.6516,"(47.651620017, -122.342626849)","2013-03-29","2013-03-30"
458,733539,"2013107057","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-28T16:00:00.000Z","2013-03-29 17:00:00","81XX BLOCK OF DELRIDGE WY SW","F","F2",-122.36,47.5292,"(47.529181172, -122.36045528)","2013-03-28","2013-03-29"
509,733687,"201397426","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-23T03:40:00.000Z","1900-01-01 00:00:00","25XX BLOCK OF CANTERBURY LN E","C","C3",-122.281,47.6412,"(47.641235334, -122.281361136)","2013-03-23","2013-03-23"
510,733688,"201397846","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-23T13:09:00.000Z","1900-01-01 00:00:00","5XX BLOCK OF E DENNY WY","E","E1",-122.325,47.6185,"(47.618485517, -122.324645304)","2013-03-23","2013-03-23"
514,733694,"201398935","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-23T19:00:00.000Z","2013-03-24 09:00:00","7XX BLOCK OF BOYLSTON AV E","C","C1",-122.324,47.626,"(47.625986139, -122.323566755)","2013-03-23","2013-03-24"
527,733735,"2013104221","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-27T16:00:00.000Z","2013-03-28 03:30:00","26XX BLOCK OF 13 AV W","Q","Q2",-122.373,47.6442,"(47.644159661, -122.373222291)","2013-03-27","2013-03-28"
556,733824,"201396006","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-21T09:00:00.000Z","2013-03-22 01:28:00","48XX BLOCK OF 55 AV S","R","R3",-122.264,47.5589,"(47.558858301, -122.264409228)","2013-03-21","2013-03-22"
557,733827,"201397103","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-22T23:24:00.000Z","1900-01-01 00:00:00","77XX BLOCK OF 27 AV NW","B","B2",-122.391,47.6859,"(47.685865297, -122.390851697)","2013-03-22","2013-03-22"
560,733838,"201399686","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-23T15:00:00.000Z","2013-03-25 02:00:00","107XX BLOCK OF CORLISS AV N","N","N3",-122.331,47.7072,"(47.707174059, -122.331283637)","2013-03-23","2013-03-25"
668,734773,"2013101233","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-26T00:00:00.000Z","2013-03-26 09:00:00","55XX BLOCK OF 16 AV NE","U","U3",-122.311,47.669,"(47.668991548, -122.310748739)","2013-03-26","2013-03-26"
671,734777,"2013100730","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-25T21:30:00.000Z","1900-01-01 00:00:00","11XX BLOCK OF 14 AV","E","E2",-122.314,47.6122,"(47.6122349, -122.314147395)","2013-03-25","2013-03-25"
680,734806,"2013103347","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-21T08:00:00.000Z","2013-03-25 20:00:00","9XX BLOCK OF S EDDY ST","O","O3",-122.32,47.5457,"(47.545718183, -122.320099326)","2013-03-21","2013-03-25"
682,734816,"2013104715","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T12:00:00.000Z","2013-03-28 21:30:00","50XX BLOCK OF BAKER AV NW","J","J2",-122.36,47.666,"(47.665954571, -122.359667525)","2013-03-28","2013-03-28"
691,734838,"2013107877","2205",0,"BURGLARY-NOFORCE-NONRES","2200",,"2013-03-30T03:25:00.000Z","2013-03-30 11:45:00","51XX BLOCK OF BALLARD AV NW","J","J2",-122.382,47.6653,"(47.665305186, -122.381897931)","2013-03-30","2013-03-30"
692,734840,"2013108311","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-31T16:30:00.000Z","1900-01-01 00:00:00","5XX BLOCK OF S CLOVERDALE ST","F","F3",-122.327,47.5265,"(47.526477215, -122.326892908)","2013-03-31","2013-03-31"
905,735890,"2013101496","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-21T17:00:00.000Z","2013-03-26 10:00:00","9XX BLOCK OF E JEFFERSON ST","E","E3",-122.32,47.6062,"(47.606210583, -122.320082719)","2013-03-21","2013-03-26"
921,735938,"2013105084","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-29T08:05:00.000Z","1900-01-01 00:00:00","5XX BLOCK OF N 142 ST","N","N1",-122.352,47.7316,"(47.731578243, -122.352380371)","2013-03-29","2013-03-29"
922,735939,"2013105975","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-29T21:27:00.000Z","1900-01-01 00:00:00","49XX BLOCK OF S ALASKA ST","R","R3",-122.271,47.5606,"(47.560587093, -122.271331121)","2013-03-29","2013-03-29"
938,735970,"2013108527","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-31T16:30:00.000Z","2013-03-31 22:30:00","25XX BLOCK OF S JUNEAU ST","S","S1",-122.299,47.55,"(47.549979687, -122.298593947)","2013-03-31","2013-03-31"
1137,736944,"2013107113","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T14:00:00.000Z","2013-03-30 19:15:00","104XX BLOCK OF 66 AV S","S","S3",-122.251,47.5073,"(47.507280806, -122.251208632)","2013-03-27","2013-03-30"
1291,737461,"2013102028","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-26T20:30:00.000Z","2013-03-26 21:30:00","5XX BLOCK OF E PIKE ST","E","E2",-122.325,47.6141,"(47.614091485, -122.324986084)","2013-03-26","2013-03-26"
1296,737470,"2013104031","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T11:00:00.000Z","2013-03-28 13:00:00","3XX BLOCK OF MARTIN LUTHER KING JR WY","G","G3",0,0,"(0.0, 0.0)","2013-03-28","2013-03-28"
1404,737701,"2013103817","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T09:05:00.000Z","1900-01-01 00:00:00","33XX BLOCK OF 38 AV W","Q","Q1",-122.406,47.65,"(47.649975575, -122.405749199)","2013-03-28","2013-03-28"
1406,737705,"2013108094","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-31T14:00:00.000Z","2013-03-31 14:15:00","44XX BLOCK OF 30 AV W","Q","Q1",-122.396,47.6607,"(47.660678136, -122.396099448)","2013-03-31","2013-03-31"
1407,737706,"2013108160","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-30T08:00:00.000Z","2013-03-30 09:00:00","95XX BLOCK OF RAINIER AV S","S","S3",-122.261,47.5203,"(47.520316995, -122.261148057)","2013-03-30","2013-03-30"
1429,737865,"2013104312","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-27T20:00:00.000Z","2013-03-28 09:00:00","40XX BLOCK OF NE 55 ST","L","L3",-122.283,47.6685,"(47.668508342, -122.283476651)","2013-03-27","2013-03-28"
1498,738198,"2013113189","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-30T12:00:00.000Z","1900-01-01 00:00:00","53XX BLOCK OF RUSSELL AV NW","J","J2",-122.382,47.6673,"(47.667321631, -122.38151419)","2013-03-30","2013-03-30"
1502,738203,"2013113338","2205",0,"BURGLARY-NOFORCE-NONRES","2200",,"2013-03-21T09:29:00.000Z","1900-01-01 00:00:00","50XX BLOCK OF 15 AV NE","U","U3",-122.312,47.6657,"(47.665660546, -122.311926818)","2013-03-21","2013-03-21"
1557,738375,"2013101108","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-25T19:00:00.000Z","2013-03-26 07:00:00","45XX BLOCK OF 4 AV NE","J","J3",-122.324,47.6622,"(47.662248181, -122.324023069)","2013-03-25","2013-03-26"
1561,738388,"2013105070","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T18:30:00.000Z","2013-03-29 07:30:00","1XX BLOCK OF 21 AV E","C","C2",-122.305,47.6194,"(47.619358468, -122.304754284)","2013-03-28","2013-03-29"
1562,738389,"2013105270","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-29T11:14:00.000Z","1900-01-01 00:00:00","2XX BLOCK OF E EDGAR ST","C","C1",-122.324,47.6445,"(47.644491567, -122.323995762)","2013-03-29","2013-03-29"
1563,738391,"2013107363","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-30T22:35:00.000Z","1900-01-01 00:00:00","3XX BLOCK OF 26 AV","G","G3",-122.299,47.6052,"(47.605234654, -122.298899795)","2013-03-30","2013-03-30"
1581,738423,"2013109786","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-22T14:00:00.000Z","2013-03-26 10:00:00","7XX BLOCK OF N 85 ST","N","N2",-122.349,47.6906,"(47.690574892, -122.348559528)","2013-03-22","2013-03-26"
1584,738427,"2013110241","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-30T15:00:00.000Z","1900-01-01 00:00:00","21XX BLOCK OF DEXTER AV N","Q","Q2",-122.344,47.6386,"(47.638576358, -122.34386818)","2013-03-30","2013-03-30"
2331,740752,"201395810","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-21T18:00:00.000Z","2013-03-21 20:50:00","4XX BLOCK OF N BOWDOIN PL","J","J2",-122.354,47.6546,"(47.654621898, -122.353537294)","2013-03-21","2013-03-21"
2647,741903,"2013104113","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-24T12:00:00.000Z","2013-03-26 14:00:00","57XX BLOCK OF S LEO ST","S","S3",-122.261,47.5025,"(47.502507453, -122.260959021)","2013-03-24","2013-03-26"
2648,741904,"2013103793","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T19:45:00.000Z","2013-03-28 00:00:00","94XX BLOCK OF 16 AV SW","F","F3",-122.355,47.5183,"(47.518278028, -122.355154775)","2013-03-27","2013-03-28"
2826,742519,"2013109325","2299",1,"BURGLARY-SECURE PARKING-NONRES","2200",,"2013-03-27T09:00:00.000Z","2013-03-27 17:00:00","18XX BLOCK OF 7 AV","M","M2",-122.336,47.6139,"(47.613941737, -122.335663727)","2013-03-27","2013-03-27"
2915,742711,"2013100095","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T11:45:00.000Z","1900-01-01 00:00:00","23XX BLOCK OF DELMAR DR E","C","C1",-122.315,47.641,"(47.640957575, -122.315393473)","2013-03-25","2013-03-25"
3051,743245,"201397061","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-22T21:32:00.000Z","1900-01-01 00:00:00","8XX BLOCK OF NE 50 ST","U","U2",-122.319,47.6649,"(47.664947208, -122.318989904)","2013-03-22","2013-03-22"
3508,745137,"2013129080","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-27T12:00:00.000Z","2013-03-28 18:00:00","127XX BLOCK OF 33 AV NE","L","L1",-122.292,47.721,"(47.721007495, -122.292493614)","2013-03-27","2013-03-28"
3735,745730,"2013100122","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T08:00:00.000Z","2013-03-25 12:00:00","65XX BLOCK OF 29 AV S","S","S1",-122.296,47.5435,"(47.54353295, -122.295817533)","2013-03-25","2013-03-25"
3790,745915,"2013103197","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-27T08:00:00.000Z","2013-03-27 19:30:00","25XX BLOCK OF 19 AV S","O","O1",-122.309,47.5806,"(47.580634362, -122.308731799)","2013-03-27","2013-03-27"
3792,745923,"2013106412","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-30T01:30:00.000Z","2013-03-30 04:00:00","134XX BLOCK OF GREENWOOD AV N","B","B1",-122.356,47.726,"(47.725955316, -122.355552862)","2013-03-30","2013-03-30"
3986,746530,"201397786","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-23T00:00:00.000Z","2013-03-23 06:00:00","4XX BLOCK OF N 90 ST","N","N2",-122.353,47.6942,"(47.694211046, -122.353304004)","2013-03-23","2013-03-23"
4303,747446,"201398772","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-23T20:30:00.000Z","2013-03-24 05:00:00","44XX BLOCK OF MARTIN LUTHER KING JR WY S","R","R2",0,0,"(0.0, 0.0)","2013-03-23","2013-03-24"
